Room,BlockStart,StudentCount,Ratio,RequiredStaff,day_of_week,week_of_year,lag_1,lag_7,LowerBound,UpperBound,Anomaly,Date
Pre-K2,2024-03-27 07:00:00,1,12,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Goodnight Moon,2024-03-27 07:00:00,1,4,2,2,13,1.0,1.0,1.0,1.0,Normal,2024-03-27
Pennie Infants,2024-03-27 07:00:00,1,4,2,2,13,1.0,1.0,1.0,1.0,Normal,2024-03-27
Wild Things,2024-03-27 07:00:00,1,10,2,2,13,1.0,1.0,-2.0,6.0,Normal,2024-03-27
Pennie Toddlers,2024-03-27 07:00:00,1,6,2,2,13,1.0,1.0,1.0,1.0,Normal,2024-03-27
Monkeys,2024-03-27 07:00:00,1,6,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Pandas,2024-03-27 07:00:00,1,6,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Pennie Preschool 1,2024-03-27 07:00:00,2,10,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Pre-K2,2024-03-27 07:30:00,2,12,2,2,13,2.0,1.0,-0.5,3.5,Normal,2024-03-27
Dinosaur Stomp,2024-03-27 07:30:00,1,12,2,2,13,2.0,1.0,-2.0,6.0,Normal,2024-03-27
Pre-K1,2024-03-27 07:30:00,1,12,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Pennie Infants,2024-03-27 07:30:00,1,4,2,2,13,1.0,1.0,1.0,1.0,Normal,2024-03-27
Pennie Toddlers,2024-03-27 07:30:00,2,6,2,2,13,1.0,1.0,1.0,1.0,High,2024-03-27
Grampy Tom Multi-Age,2024-03-27 07:30:00,1,4,2,2,13,2.0,1.0,1.0,1.0,Normal,2024-03-27
Monkeys,2024-03-27 07:30:00,2,6,2,2,13,1.0,2.0,-0.5,3.5,Normal,2024-03-27
Henry Toddlers,2024-03-27 07:30:00,2,6,2,2,13,2.0,2.0,-0.5,3.5,Normal,2024-03-27
Goodnight Moon,2024-03-27 07:30:00,1,4,2,2,13,2.0,1.0,1.0,1.0,Normal,2024-03-27
Grampy Tom Preschool,2024-03-27 07:30:00,1,10,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Wild Things,2024-03-27 07:30:00,3,10,2,2,13,1.0,1.0,-2.0,6.0,Normal,2024-03-27
Pre-K2,2024-03-27 08:00:00,3,12,2,2,13,3.0,2.0,-0.5,3.5,Normal,2024-03-27
Dinosaur Stomp,2024-03-27 08:00:00,4,12,2,2,13,3.0,1.0,-2.0,6.0,Normal,2024-03-27
Wild Things,2024-03-27 08:00:00,2,10,2,2,13,4.0,2.0,-2.0,6.0,Normal,2024-03-27
Pre-K1,2024-03-27 08:00:00,3,12,2,2,13,2.0,2.0,-0.5,3.5,Normal,2024-03-27
Pennie Infants,2024-03-27 08:00:00,1,4,2,2,13,3.0,1.0,1.0,1.0,Normal,2024-03-27
Grampy Tom Preschool,2024-03-27 08:00:00,5,10,2,2,13,1.0,1.0,-0.5,3.5,High,2024-03-27
Henry Toddlers,2024-03-27 08:00:00,3,6,2,2,13,5.0,3.0,-0.5,3.5,Normal,2024-03-27
Grampy Tom Multi-Age,2024-03-27 08:00:00,1,4,2,2,13,3.0,3.0,1.0,1.0,Normal,2024-03-27
Grampy Tom Toddlers,2024-03-27 08:00:00,1,6,2,2,13,1.0,4.0,-0.5,3.5,Normal,2024-03-27
Pennie Toddlers,2024-03-27 08:00:00,1,6,2,2,13,1.0,2.0,1.0,1.0,Normal,2024-03-27
Llamas Llamas,2024-03-27 08:00:00,1,4,2,2,13,1.0,3.0,-0.5,3.5,Normal,2024-03-27
Monkeys,2024-03-27 08:00:00,1,6,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Pandas,2024-03-27 08:00:00,1,6,2,2,13,1.0,5.0,-0.5,3.5,Normal,2024-03-27
Henry Multi-Age,2024-03-27 08:00:00,1,4,2,2,13,1.0,3.0,1.0,1.0,Normal,2024-03-27
Pennie Preschool 1,2024-03-27 08:00:00,1,10,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Goodnight Moon,2024-03-27 08:30:00,1,4,2,2,13,1.0,1.0,1.0,1.0,Normal,2024-03-27
Pennie Preschool 1,2024-03-27 08:30:00,1,10,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Pre-K2,2024-03-27 08:30:00,2,12,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
House Pooh,2024-03-27 08:30:00,1,4,2,2,13,2.0,1.0,1.0,1.0,Normal,2024-03-27
Wild Things,2024-03-27 08:30:00,1,10,2,2,13,1.0,1.0,-2.0,6.0,Normal,2024-03-27
Henry Toddlers,2024-03-27 08:30:00,1,6,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Grampy Tom Preschool,2024-03-27 08:30:00,3,10,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Monkeys,2024-03-27 08:30:00,1,6,2,2,13,3.0,1.0,-0.5,3.5,Normal,2024-03-27
Pennie Toddlers,2024-03-27 08:30:00,1,6,2,2,13,1.0,1.0,1.0,1.0,Normal,2024-03-27
Henry Multi-Age,2024-03-27 08:30:00,3,4,2,2,13,1.0,2.0,1.0,1.0,High,2024-03-27
Dinosaur Stomp,2024-03-27 08:30:00,4,12,2,2,13,3.0,1.0,-2.0,6.0,Normal,2024-03-27
Llamas Llamas,2024-03-27 08:30:00,1,4,2,2,13,4.0,1.0,-0.5,3.5,Normal,2024-03-27
Pandas,2024-03-27 08:30:00,1,6,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Grampy Tom Toddlers,2024-03-27 08:30:00,1,6,2,2,13,1.0,3.0,-0.5,3.5,Normal,2024-03-27
Pre-K1,2024-03-27 08:30:00,4,12,2,2,13,1.0,1.0,-0.5,3.5,High,2024-03-27
Pre-K1,2024-03-27 09:00:00,1,12,2,2,13,4.0,1.0,-0.5,3.5,Normal,2024-03-27
Grampy Tom Preschool,2024-03-27 09:00:00,2,10,2,2,13,1.0,3.0,-0.5,3.5,Normal,2024-03-27
Pennie Toddlers,2024-03-27 09:00:00,1,6,2,2,13,2.0,4.0,1.0,1.0,Normal,2024-03-27
Pre-K2,2024-03-27 09:00:00,2,12,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Dinosaur Stomp,2024-03-27 09:00:00,1,12,2,2,13,2.0,1.0,-2.0,6.0,Normal,2024-03-27
Henry Multi-Age,2024-03-27 09:00:00,2,4,2,2,13,1.0,1.0,1.0,1.0,High,2024-03-27
Llamas Llamas,2024-03-27 09:00:00,1,4,2,2,13,2.0,4.0,-0.5,3.5,Normal,2024-03-27
Dinosaur Stomp,2024-03-27 09:30:00,1,12,2,2,13,1.0,1.0,-2.0,6.0,Normal,2024-03-27
Henry Multi-Age,2024-03-27 09:30:00,2,4,2,2,13,1.0,2.0,1.0,1.0,High,2024-03-27
Llamas Llamas,2024-03-27 09:30:00,1,4,2,2,13,2.0,1.0,-0.5,3.5,Normal,2024-03-27
Pre-K2,2024-03-27 09:30:00,1,12,2,2,13,1.0,2.0,-0.5,3.5,Normal,2024-03-27
Henry Multi-Age,2024-03-27 10:00:00,1,4,2,2,13,1.0,1.0,1.0,1.0,Normal,2024-03-27
Henry Multi-Age,2024-03-27 10:30:00,1,4,2,2,13,1.0,2.0,1.0,1.0,Normal,2024-03-27
Pre-K2,2024-03-27 15:30:00,1,12,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Pre-K2,2024-03-27 16:00:00,1,12,2,2,13,1.0,1.0,-0.5,3.5,Normal,2024-03-27
Monkeys,2024-03-27 16:30:00,1,6,2,2,13,1.0,2.0,-0.5,3.5,Normal,2024-03-27
Pre-K2,2024-04-02 06:30:00,1,12,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Pennie Toddlers,2024-04-02 06:30:00,1,6,2,1,14,1.0,1.0,1.0,1.0,Normal,2024-04-02
Wild Things,2024-04-02 06:30:00,1,10,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Henry Toddlers,2024-04-02 07:00:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Pennie Preschool 1,2024-04-02 07:00:00,1,10,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Wild Things,2024-04-02 07:00:00,1,10,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Pennie Toddlers,2024-04-02 07:00:00,1,6,2,1,14,1.0,1.0,1.0,1.0,Normal,2024-04-02
Pre-K2,2024-04-02 07:00:00,2,12,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Pre-K1,2024-04-02 07:00:00,1,12,2,1,14,2.0,1.0,-0.5,3.5,Normal,2024-04-02
Pennie Infants,2024-04-02 07:30:00,1,4,2,1,14,1.0,1.0,1.0,1.0,Normal,2024-04-02
Grampy Tom Toddlers,2024-04-02 07:30:00,2,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Monkeys,2024-04-02 07:30:00,2,6,2,1,14,2.0,1.0,-0.5,3.5,Normal,2024-04-02
Hungry Caterpillars,2024-04-02 07:30:00,1,4,2,1,14,2.0,1.0,1.0,1.0,Normal,2024-04-02
Pre-K2,2024-04-02 07:30:00,3,12,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Pre-K1,2024-04-02 07:30:00,4,12,2,1,14,3.0,2.0,-0.5,3.5,High,2024-04-02
Henry Toddlers,2024-04-02 07:30:00,2,6,2,1,14,4.0,1.0,-0.5,3.5,Normal,2024-04-02
Pennie Preschool 1,2024-04-02 07:30:00,2,10,2,1,14,2.0,1.0,-0.5,3.5,Normal,2024-04-02
Wild Things,2024-04-02 07:30:00,3,10,2,1,14,2.0,2.0,-2.0,6.0,Normal,2024-04-02
Pandas,2024-04-02 07:30:00,2,6,2,1,14,3.0,2.0,-0.5,3.5,Normal,2024-04-02
Pennie Toddlers,2024-04-02 07:30:00,1,6,2,1,14,2.0,1.0,1.0,1.0,Normal,2024-04-02
Llamas Llamas,2024-04-02 07:30:00,1,4,2,1,14,1.0,3.0,-0.5,3.5,Normal,2024-04-02
Henry Toddlers,2024-04-02 08:00:00,2,6,2,1,14,1.0,4.0,-0.5,3.5,Normal,2024-04-02
Wild Things,2024-04-02 08:00:00,3,10,2,1,14,2.0,2.0,-2.0,6.0,Normal,2024-04-02
Pennie Toddlers,2024-04-02 08:00:00,3,6,2,1,14,3.0,2.0,1.0,1.0,High,2024-04-02
Grampy Tom Preschool,2024-04-02 08:00:00,4,10,2,1,14,3.0,3.0,-0.5,3.5,High,2024-04-02
Pandas,2024-04-02 08:00:00,4,6,2,1,14,4.0,2.0,-0.5,3.5,High,2024-04-02
House Pooh,2024-04-02 08:00:00,1,4,2,1,14,4.0,1.0,1.0,1.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 08:00:00,5,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Pennie Preschool 1,2024-04-02 08:00:00,2,10,2,1,14,5.0,2.0,-0.5,3.5,Normal,2024-04-02
Grampy Tom Toddlers,2024-04-02 08:00:00,2,6,2,1,14,2.0,3.0,-0.5,3.5,Normal,2024-04-02
Pre-K1,2024-04-02 08:00:00,2,12,2,1,14,2.0,3.0,-0.5,3.5,Normal,2024-04-02
Henry Infants,2024-04-02 08:00:00,2,4,2,1,14,2.0,4.0,-0.5,3.5,Normal,2024-04-02
Monkeys,2024-04-02 08:00:00,3,6,2,1,14,2.0,4.0,-0.5,3.5,Normal,2024-04-02
Pre-K2,2024-04-02 08:00:00,3,12,2,1,14,3.0,1.0,-0.5,3.5,Normal,2024-04-02
Pandas,2024-04-02 08:30:00,1,6,2,1,14,3.0,5.0,-0.5,3.5,Normal,2024-04-02
Pre-K2,2024-04-02 08:30:00,2,12,2,1,14,1.0,2.0,-0.5,3.5,Normal,2024-04-02
Llamas Llamas,2024-04-02 08:30:00,1,4,2,1,14,2.0,2.0,-0.5,3.5,Normal,2024-04-02
Monkeys,2024-04-02 08:30:00,2,6,2,1,14,1.0,2.0,-0.5,3.5,Normal,2024-04-02
Henry Infants,2024-04-02 08:30:00,1,4,2,1,14,2.0,2.0,-0.5,3.5,Normal,2024-04-02
Wild Things,2024-04-02 08:30:00,3,10,2,1,14,1.0,3.0,-2.0,6.0,Normal,2024-04-02
Pennie Preschool 1,2024-04-02 08:30:00,1,10,2,1,14,3.0,3.0,-0.5,3.5,Normal,2024-04-02
House Pooh,2024-04-02 08:30:00,1,4,2,1,14,1.0,1.0,1.0,1.0,Normal,2024-04-02
Pennie Toddlers,2024-04-02 08:30:00,3,6,2,1,14,1.0,2.0,1.0,1.0,High,2024-04-02
Henry Multi-Age,2024-04-02 08:30:00,1,4,2,1,14,3.0,1.0,1.0,1.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 08:30:00,4,12,2,1,14,1.0,2.0,-2.0,6.0,Normal,2024-04-02
Henry Toddlers,2024-04-02 08:30:00,1,6,2,1,14,4.0,1.0,-0.5,3.5,Normal,2024-04-02
Pre-K1,2024-04-02 08:30:00,1,12,2,1,14,1.0,3.0,-0.5,3.5,Normal,2024-04-02
Grampy Tom Toddlers,2024-04-02 08:30:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Llamas Llamas,2024-04-02 09:00:00,1,4,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Monkeys,2024-04-02 09:00:00,1,6,2,1,14,1.0,3.0,-0.5,3.5,Normal,2024-04-02
Henry Toddlers,2024-04-02 09:00:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Henry Multi-Age,2024-04-02 09:00:00,1,4,2,1,14,1.0,4.0,1.0,1.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 09:00:00,2,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Pre-K2,2024-04-02 09:00:00,1,12,2,1,14,2.0,1.0,-0.5,3.5,Normal,2024-04-02
Wild Things,2024-04-02 09:30:00,1,10,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 09:30:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Henry Toddlers,2024-04-02 09:30:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Henry Toddlers,2024-04-02 10:00:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 10:00:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 10:30:00,1,12,2,1,14,1.0,2.0,-2.0,6.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 11:00:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 11:30:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 12:00:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 12:30:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 13:00:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Monkeys,2024-04-02 13:00:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Monkeys,2024-04-02 13:30:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 13:30:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 14:00:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Monkeys,2024-04-02 14:00:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 14:30:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Monkeys,2024-04-02 14:30:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 15:00:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Monkeys,2024-04-02 15:00:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Pre-K1,2024-04-02 15:30:00,2,12,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Pre-K2,2024-04-02 15:30:00,1,12,2,1,14,2.0,1.0,-0.5,3.5,Normal,2024-04-02
Monkeys,2024-04-02 15:30:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 15:30:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Dinosaur Stomp,2024-04-02 16:00:00,1,12,2,1,14,1.0,1.0,-2.0,6.0,Normal,2024-04-02
Monkeys,2024-04-02 16:00:00,1,6,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Pre-K2,2024-04-02 16:00:00,1,12,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Pre-K1,2024-04-02 16:00:00,2,12,2,1,14,1.0,2.0,-0.5,3.5,Normal,2024-04-02
Monkeys,2024-04-02 16:30:00,1,6,2,1,14,2.0,1.0,-0.5,3.5,Normal,2024-04-02
Pre-K1,2024-04-02 16:30:00,4,12,2,1,14,1.0,1.0,-0.5,3.5,High,2024-04-02
Pre-K2,2024-04-02 16:30:00,4,12,2,1,14,4.0,1.0,-0.5,3.5,High,2024-04-02
Dinosaur Stomp,2024-04-02 16:30:00,1,12,2,1,14,4.0,1.0,-2.0,6.0,Normal,2024-04-02
Pre-K2,2024-04-02 17:00:00,3,12,2,1,14,1.0,1.0,-0.5,3.5,Normal,2024-04-02
Monkeys,2024-04-02 17:00:00,1,6,2,1,14,3.0,1.0,-0.5,3.5,Normal,2024-04-02
Pre-K1,2024-04-02 17:00:00,3,12,2,1,14,1.0,2.0,-0.5,3.5,Normal,2024-04-02
Henry Multi-Age,2024-04-04 06:30:00,1,4,2,3,14,3.0,1.0,1.0,1.0,Normal,2024-04-04
Wild Things,2024-04-04 06:30:00,1,10,2,3,14,1.0,4.0,-2.0,6.0,Normal,2024-04-04
Wild Things,2024-04-04 07:00:00,1,10,2,3,14,1.0,4.0,-2.0,6.0,Normal,2024-04-04
Henry Multi-Age,2024-04-04 07:00:00,1,4,2,3,14,1.0,1.0,1.0,1.0,Normal,2024-04-04
Pennie Preschool 1,2024-04-04 07:00:00,1,10,2,3,14,1.0,3.0,-0.5,3.5,Normal,2024-04-04
Pre-K1,2024-04-04 07:00:00,1,12,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 07:00:00,1,6,2,3,14,1.0,3.0,-0.5,3.5,Normal,2024-04-04
Pandas,2024-04-04 07:00:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Pandas,2024-04-04 07:30:00,2,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Wild Things,2024-04-04 07:30:00,4,10,2,3,14,2.0,1.0,-2.0,6.0,Normal,2024-04-04
Monkeys,2024-04-04 07:30:00,1,6,2,3,14,4.0,1.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 07:30:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Pennie Toddlers,2024-04-04 07:30:00,2,6,2,3,14,1.0,1.0,1.0,1.0,High,2024-04-04
Pre-K1,2024-04-04 07:30:00,2,12,2,3,14,2.0,1.0,-0.5,3.5,Normal,2024-04-04
Pennie Preschool 1,2024-04-04 07:30:00,2,10,2,3,14,2.0,1.0,-0.5,3.5,Normal,2024-04-04
Goodnight Moon,2024-04-04 07:30:00,1,4,2,3,14,2.0,2.0,1.0,1.0,Normal,2024-04-04
Henry Infants,2024-04-04 07:30:00,3,4,2,3,14,1.0,4.0,-0.5,3.5,Normal,2024-04-04
Dinosaur Stomp,2024-04-04 07:30:00,2,12,2,3,14,3.0,1.0,-2.0,6.0,Normal,2024-04-04
Pre-K2,2024-04-04 07:30:00,1,12,2,3,14,2.0,1.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Preschool,2024-04-04 07:30:00,2,10,2,3,14,1.0,2.0,-0.5,3.5,Normal,2024-04-04
Henry Multi-Age,2024-04-04 07:30:00,1,4,2,3,14,2.0,2.0,1.0,1.0,Normal,2024-04-04
Pennie Infants,2024-04-04 07:30:00,1,4,2,3,14,1.0,2.0,1.0,1.0,Normal,2024-04-04
Monkeys,2024-04-04 08:00:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Dinosaur Stomp,2024-04-04 08:00:00,4,12,2,3,14,1.0,3.0,-2.0,6.0,Normal,2024-04-04
Pre-K1,2024-04-04 08:00:00,4,12,2,3,14,4.0,2.0,-0.5,3.5,High,2024-04-04
Pre-K2,2024-04-04 08:00:00,2,12,2,3,14,4.0,1.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Preschool,2024-04-04 08:00:00,3,10,2,3,14,2.0,2.0,-0.5,3.5,Normal,2024-04-04
Henry Multi-Age,2024-04-04 08:00:00,2,4,2,3,14,3.0,1.0,1.0,1.0,High,2024-04-04
Pennie Toddlers,2024-04-04 08:00:00,1,6,2,3,14,2.0,1.0,1.0,1.0,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 08:00:00,2,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Henry Infants,2024-04-04 08:00:00,1,4,2,3,14,2.0,4.0,-0.5,3.5,Normal,2024-04-04
Llamas Llamas,2024-04-04 08:00:00,1,4,2,3,14,1.0,4.0,-0.5,3.5,Normal,2024-04-04
Pennie Preschool 1,2024-04-04 08:00:00,2,10,2,3,14,1.0,2.0,-0.5,3.5,Normal,2024-04-04
Hungry Caterpillars,2024-04-04 08:00:00,1,4,2,3,14,2.0,3.0,1.0,1.0,Normal,2024-04-04
Wild Things,2024-04-04 08:00:00,6,10,2,3,14,1.0,2.0,-2.0,6.0,Normal,2024-04-04
Pandas,2024-04-04 08:00:00,1,6,2,3,14,6.0,1.0,-0.5,3.5,Normal,2024-04-04
Pre-K2,2024-04-04 08:30:00,2,12,2,3,14,1.0,2.0,-0.5,3.5,Normal,2024-04-04
Llamas Llamas,2024-04-04 08:30:00,1,4,2,3,14,2.0,1.0,-0.5,3.5,Normal,2024-04-04
Henry Infants,2024-04-04 08:30:00,1,4,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Dinosaur Stomp,2024-04-04 08:30:00,2,12,2,3,14,1.0,2.0,-2.0,6.0,Normal,2024-04-04
Grampy Tom Preschool,2024-04-04 08:30:00,2,10,2,3,14,2.0,1.0,-0.5,3.5,Normal,2024-04-04
Pre-K1,2024-04-04 08:30:00,3,12,2,3,14,2.0,6.0,-0.5,3.5,Normal,2024-04-04
Hungry Caterpillars,2024-04-04 08:30:00,1,4,2,3,14,3.0,1.0,1.0,1.0,Normal,2024-04-04
Wild Things,2024-04-04 08:30:00,3,10,2,3,14,1.0,2.0,-2.0,6.0,Normal,2024-04-04
Henry Multi-Age,2024-04-04 08:30:00,2,4,2,3,14,3.0,1.0,1.0,1.0,High,2024-04-04
Pennie Toddlers,2024-04-04 08:30:00,2,6,2,3,14,2.0,1.0,1.0,1.0,High,2024-04-04
Pre-K2,2024-04-04 09:00:00,1,12,2,3,14,2.0,2.0,-0.5,3.5,Normal,2024-04-04
Henry Multi-Age,2024-04-04 09:00:00,3,4,2,3,14,1.0,2.0,1.0,1.0,High,2024-04-04
Llamas Llamas,2024-04-04 09:00:00,3,4,2,3,14,3.0,3.0,-0.5,3.5,Normal,2024-04-04
Hungry Caterpillars,2024-04-04 09:00:00,1,4,2,3,14,3.0,1.0,1.0,1.0,Normal,2024-04-04
Pre-K1,2024-04-04 09:00:00,1,12,2,3,14,1.0,3.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Preschool,2024-04-04 09:00:00,1,10,2,3,14,1.0,2.0,-0.5,3.5,Normal,2024-04-04
Wild Things,2024-04-04 09:00:00,1,10,2,3,14,1.0,2.0,-2.0,6.0,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 09:00:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Henry Multi-Age,2024-04-04 09:30:00,1,4,2,3,14,1.0,3.0,1.0,1.0,Normal,2024-04-04
Rabbits,2024-04-04 09:30:00,1,6,2,3,14,1.0,3.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 09:30:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 10:00:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Henry Multi-Age,2024-04-04 10:00:00,1,4,2,3,14,1.0,1.0,1.0,1.0,Normal,2024-04-04
Henry Multi-Age,2024-04-04 10:30:00,1,4,2,3,14,1.0,1.0,1.0,1.0,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 10:30:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 11:00:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Henry Multi-Age,2024-04-04 11:00:00,1,4,2,3,14,1.0,1.0,1.0,1.0,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 11:30:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 12:00:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Pre-K2,2024-04-04 12:00:00,3,12,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Henry Multi-Age,2024-04-04 12:00:00,1,4,2,3,14,3.0,1.0,1.0,1.0,Normal,2024-04-04
Henry Multi-Age,2024-04-04 12:30:00,1,4,2,3,14,1.0,1.0,1.0,1.0,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 12:30:00,1,6,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Pre-K2,2024-04-04 12:30:00,3,12,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 13:00:00,1,6,2,3,14,3.0,1.0,-0.5,3.5,Normal,2024-04-04
Pre-K2,2024-04-04 13:00:00,3,12,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Henry Multi-Age,2024-04-04 13:00:00,1,4,2,3,14,3.0,3.0,1.0,1.0,Normal,2024-04-04
Pre-K2,2024-04-04 13:30:00,3,12,2,3,14,1.0,1.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 13:30:00,1,6,2,3,14,3.0,1.0,-0.5,3.5,Normal,2024-04-04
Henry Multi-Age,2024-04-04 13:30:00,1,4,2,3,14,1.0,1.0,1.0,1.0,Normal,2024-04-04
Pre-K2,2024-04-04 14:00:00,3,12,2,3,14,1.0,3.0,-0.5,3.5,Normal,2024-04-04
Grampy Tom Toddlers,2024-04-04 14:00:00,1,6,2,3,14,3.0,1.0,-0.5,3.5,Normal,2024-04-04
Henry Multi-Age,2024-04-04 14:00:00,1,4,2,3,14,1.0,3.0,1.0,1.0,Normal,2024-04-04
Henry Multi-Age,2024-04-04 14:30:00,1,4,2,3,14,1.0,1.0,1.0,1.0,Normal,2024-04-04
